id,time,test_loss,epochs,accuracy,width_shift,height_shift,zoom,horizontal_flip,rotation,depth,dense_neurons,init_filters,use_batchnorm,dropout,batch_size,max_epochs,learning_rate,beta1,beta2
1,1587742696.5615015,2.1483653621673584,74,0.43425,0.04435413462883928,0.11401699697364336,0.0610821024188187,True,19,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
2,1587743747.0044687,2.0155974435806274,107,0.461,0.11788227324843364,0.09502284381702587,0.2816492483932467,False,5,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
3,1587744619.8403242,2.1209632434844967,88,0.43925,0.04886842507278493,0.09860714514517713,0.25528340066530564,False,13,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
4,1587745389.7401018,2.197741914749145,77,0.424,0.12973523930286165,0.06613465617452874,0.06298141857512879,True,11,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
5,1587746068.5675302,2.253053158760071,67,0.4045,0.1938663471965569,0.1479980895654861,0.10185912793099212,False,16,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
6,1587747262.3383029,2.0105795488357545,119,0.46399999999999997,0.08509199555148778,0.14610459615794855,0.2387366870556793,False,14,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
7,1587748013.0755773,2.147773980140686,77,0.43975,0.024379467885365626,0.10445310861957786,0.026544624097210968,True,0,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
8,1587748913.8322554,2.0792973833084107,88,0.43925,0.026772055334930902,0.015102564788809069,0.2653245144709906,True,3,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
9,1587749543.69972,2.2775679864883425,61,0.39775,0.12070822386742422,0.07978837058256419,0.07101120411029414,False,13,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
10,1587750338.9942052,2.2739995212554933,77,0.40375,0.0624624339582458,0.12779836530280694,0.15977842609587492,False,27,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
11,1587751276.7893894,2.1467725896835335,91,0.429,0.11392891893459532,0.1724333516690903,0.14744437054614068,False,7,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
12,1587752304.9762926,2.089921440124512,99,0.4415,0.1033171136600832,0.05184915666282097,0.2490040430854889,True,19,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
13,1587752973.00081,2.5076185636520387,63,0.35925,0.17584565828397633,0.1964389133384193,0.010606826650620094,True,16,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
14,1587753851.7825966,2.2605645294189447,84,0.41725,0.0274540766754972,0.03912397334328988,0.05831554985376933,False,29,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
15,1587754828.9355712,2.255071972846985,92,0.41275,0.1727413459631986,0.136180895528011,0.13314629266249794,True,24,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
16,1587756097.2089016,2.0271770362854005,121,0.4585,0.05918550911516447,0.05797364611379353,0.14422845566363188,False,11,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
17,1587757468.6154597,2.0407633628845216,130,0.457,0.1846435368635378,0.07600817447878475,0.2580908179473615,True,9,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
18,1587758285.2138064,2.134773465156555,75,0.42775,0.14020812675692482,0.10091545550763753,0.28571690992867377,True,2,3,137,21,True,0.44739300000000004,512,200,0.00617708,0.533938,0.9982340000000001
19,1587759194.3462398,2.1376954650878908,84,0.43825,0.12184552681826183,0.047752202141367134,0.09860190369674961,True,2,3,137,21,True,0.447393,512,200,0.00617708,0.533938,0.998234
